"Reference","Footprint","BaseRotation","JlcCorrection","FinalRotation"
"D1101","SOT-23","0.0","+180.0","180.0"
"D1201","SOT-23","0.0","+180.0","180.0"
"D1301","SOT-23","0.0","+180.0","180.0"
"D1401","SOT-23","0.0","+180.0","180.0"
"D1501","SOT-23","0.0","+180.0","180.0"
"D1601","SOT-23","0.0","+180.0","180.0"
"D1701","SOT-23","0.0","+180.0","180.0"
"D1801","SOT-23","0.0","+180.0","180.0"
"D230","D_SMB","180.0","+180.0","0.0"
"D231","D_SMB","0.0","+180.0","180.0"
"U230","SOT-223-3_TabPin2","0.0","+180.0","180.0"
"U250","SOIC-8_3.9x4.9mm_P1.27mm","0.0","+270.0","270.0"
"U270","SOT-23-6","0.0","+180.0","180.0"
